value,variants
Hands Of Stone,Hands Of Stone
Crossbreed,Crossbreed
Fences,Fences
Alone In Berlin,Alone In Berlin
Rajahamsa,Rajahamsa
Jaguar (Telugu),Jaguar (Telugu)
Abhimaan,Abhimaan
Maze Runner: The Death Cure,Maze Runner: The Death Cure
Geostorm,Geostorm
Captain Underpants,Captain Underpants
How To Train Your Dragon 3,How To Train Your Dragon 3
Justice League 2,Justice League 2
Cars 3,Cars 3
Personal Shopper,Personal Shopper
The Boss Baby,The Boss Baby
Ishq Junoon,Ishq Junoon
Jaguar (Kannada),Jaguar (Kannada)
The Hollow Point,The Hollow Point
Prem Ki Bujhini,Prem Ki Bujhini
Brawl in Cell Block 99,Brawl in Cell Block 99
Solar Eclipse: Depth of Darkness,Solar Eclipse: Depth of Darkness
Kodi,Kodi
Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales
Vangaveeti,Vangaveeti
Love Pain Kuch Bhi Karega,Love Pain Kuch Bhi Karega
Baby,Baby
Wolverine 3: Logan,Wolverine 3: Logan
Kavi Udeshichathu?,Kavi Udeshichathu?
Chhati Tale Ding Dong,Chhati Tale Ding Dong
John Wick 2,John Wick 2
Sleepless,Sleepless
Jackie,Jackie
Get Out,Get Out
Indragobai,Indragobai
Brahma.com,Brahma.com
Jathagaa,Jathagaa
Jomonte Suviseshangal,Jomonte Suviseshangal
The Flash,The Flash
Vazandar,Vazandar
Ballerina,Ballerina
War for the Planet of the Apes,War for the Planet of the Apes
Officer Downe,Officer Downe
Rama Rama Re,Rama Rama Re
Barsa,Barsa
Salt And Fire,Salt And Fire
Imaikkaa Nodigal,Imaikkaa Nodigal
Dhruva,Dhruva
Motu Patlu - King of Kings,Motu Patlu - King of Kings
Zehan,Zehan
Ezra,Ezra
Wajah Tum Ho,Wajah Tum Ho
Death House,Death House
Moh Maya Money,Moh Maya Money
Kee,Kee
Thupparivaalan,Thupparivaalan
Magalir Mattum,Magalir Mattum
ISM,ISM
Winner,Winner
Manyam puli,Manyam puli
Achcham Yenbadhu Madamaiyada,Achcham Yenbadhu Madamaiyada
Nandini Nursing Home,Nandini Nursing Home
Train To Busan ,Train To Busan 
Fanney khan,Fanney khan
Mukunda Murari,Mukunda Murari
Crazy Snow Mobile ,Crazy Snow Mobile 
Terrific Dinasaur ,Terrific Dinasaur 
Adventures Of The Jet Cat ,Adventures Of The Jet Cat 
Vedalam,Vedalam
A Cure For Wellness,A Cure For Wellness
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2
Kabali,Kabali
GOLD,GOLD
Waras,Waras
Santhu Straight Forward,Santhu Straight Forward
MSG - The Lionheart - Hind Ka NaPak Ko Jawab,MSG - The Lionheart - Hind Ka NaPak Ko Jawab
The Emoji Movie,The Emoji Movie
Life,Life
Rock That Body,Rock That Body
Dharmayogi,Dharmayogi
Silence,Silence
Gyarah,Gyarah
Swarna Kaduva,Swarna Kaduva
Rescue (Combo),Rescue (Combo)
MR.420 (Telugu),MR.420 (Telugu)
1971 : Beyond Borders,1971 : Beyond Borders
Duniyadari (Gujarati),Duniyadari (Gujarati)
Amazon Yodhulu,Amazon Yodhulu
Red Eye,Red Eye
Rythu,Rythu
Man Down,Man Down
Bitter Harvest,Bitter Harvest
Kadamban,Kadamban
Bairavaa,Bairavaa
God Particle,God Particle
Billy Lynn`s Long Halftime Walk ,Billy Lynn`s Long Halftime Walk 
Bloodrunners,Bloodrunners
Beta,Beta
Trolls ,Trolls 
Doctor Strange ,Doctor Strange 
Doctor Strange,Doctor Strange
Doctor Strange ,Doctor Strange 
Lavari,Lavari
Team 5,Team 5
Passport,Passport
Gifted,Gifted
Doctor Strange,Doctor Strange
Akeera,Akeera
Balapam Patti Bhama Odilo,Balapam Patti Bhama Odilo
God Say,God Say
Kuheli,Kuheli
City of Dead Men,City of Dead Men
Run the Tide,Run the Tide
Janatha Garage,Janatha Garage
Toilet - Ek Prem Katha,Toilet - Ek Prem Katha
Dongri Ka Raja,Dongri Ka Raja
Chaar Sahibzaade - Rise Of Banda Singh Bahadur,Chaar Sahibzaade - Rise Of Banda Singh Bahadur
Masaan ,Masaan 
Aligarh ,Aligarh 
Raagdesh,Raagdesh
Trumbo,Trumbo
Where To Invade Next,Where To Invade Next
Jimmy`s Hall,Jimmy`s Hall
Wild Tales,Wild Tales
Mountains May Depart,Mountains May Depart
Wilson,Wilson
Celluloid Man ,Celluloid Man 
Killa,Killa
Court,Court
Sairat,Sairat
Dhyanimani,Dhyanimani
Colkatay Columbus,Colkatay Columbus
Padatik,Padatik
