value,variants
Veg. Jalfrezi,Veg. Jalfrezi
Veg. Diwani Handi,Veg. Diwani Handi
Chhole Masala,Chhole Masala
Veg. Lahsuni,Veg. Lahsuni
Veg. Chilli Milli,Veg. Chilli Milli
Veg. Handi,Veg. Handi
Veg. Kadhai,Veg. Kadhai
Mushroom Kadhai,Mushroom Kadhai
Malai Kofta,Malai Kofta
Palak Paneer,Palak Paneer
Mutter Paneer,Mutter Paneer
Paneer Handi,Paneer Handi
Paneer Kadhai,Paneer Kadhai
Paneer Tikka Masala,Paneer Tikka Masala
Paneer Tikka Lahori Masala,Paneer Tikka Lahori Masala
Paneer Do Pyaza,Paneer Do Pyaza
Paneer Kolhapuri,Paneer Kolhapuri
Paneer Kofta,Paneer Kofta
Chicken Handi,Chicken Handi
Roast Chicken Handi,Roast Chicken Handi
Chicken Makhanwala,Chicken Makhanwala
Chicken Nawabi Handi,Chicken Nawabi Handi
Chicken Masala,Chicken Masala
Chicken Tikka Masala,Chicken Tikka Masala
Chicken Laziz,Chicken Laziz
Chicken Banjara Masala,Chicken Banjara Masala
Chicken Kadhai,Chicken Kadhai
Chicken Kolhapuri,Chicken Kolhapuri
Chicken Peshawari,Chicken Peshawari
Chicken Patiyala,Chicken Patiyala
Chicken Mughlai,Chicken Mughlai
Mutton Handi,Mutton Handi
Mutton Nawabi Handi,Mutton Nawabi Handi
Mutton Kadhai,Mutton Kadhai
Mutton Adraki,Mutton Adraki
Mutton Do Pyaza,Mutton Do Pyaza
Mutton Kolhapuri,Mutton Kolhapuri
Mutton Rara Masala,Mutton Rara Masala
Prawns Kolhapuri,Prawns Kolhapuri
Prawns Lasuni Masala,Prawns Lasuni Masala
Prawns Masala,Prawns Masala
Tandoori Roti,Tandoori Roti
Naan,Naan
Missi Roti,Missi Roti
Kulcha,Kulcha
Lachha Paratha,Lachha Paratha
Garlic Naan,Garlic Naan
Garlic Cheese Naan,Garlic Cheese Naan
Butter Garlic Naan,Butter Garlic Naan
Butter Lachha Paratha,Butter Lachha Paratha
Butter Missi Roti,Butter Missi Roti
Butter Naan,Butter Naan
Butter Kulcha,Butter Kulcha
Butter Tandoori Roti,Butter Tandoori Roti
Roti,Roti
cake,cake
shawarma,shawarma
hukka bar,hukka bar
cupcakes,cupcakes
