value,variants
Ventilator,Ventilator
Bachchan 2,Bachchan 2
Cafe Town,Cafe Town
Nataraja Service,Nataraja Service
KGF,KGF
Pulimurugan,Pulimurugan
Veettachan,Veettachan
Oppam,Oppam
Carry On Jatta 2,Carry On Jatta 2
Chaar Sahibzaade - Rise Of Banda Singh Bahadur,Chaar Sahibzaade - Rise Of Banda Singh Bahadur
Toofan Singh,Toofan Singh
Dinosaur Adventure- Combo (7D),Dinosaur Adventure- Combo (7D)
The House of Dead Horror- Combo (7D),The House of Dead Horror- Combo (7D)
Sons Of Ram (11D),Sons Of Ram (11D)
Temple Run 7D- Combo,Temple Run 7D- Combo
Ride Show and Adventure Show,Ride Show and Adventure Show
Ride show and Haunted Show,Ride show and Haunted Show
Snow Ride and Horror Show,Snow Ride and Horror Show
Kids Ride and Adventure Show,Kids Ride and Adventure Show
Adventure Show and Horror Show,Adventure Show and Horror Show
Horror Show,Horror Show
Forest Adventure & Aero Bike (7D),Forest Adventure & Aero Bike (7D)
Galactic Bumper Cars + Adventure Show,Galactic Bumper Cars + Adventure Show
Galactic Bumper Car+ Horror,Galactic Bumper Car+ Horror
Galactic Bumper Car + Scary,Galactic Bumper Car + Scary
Galactic Bumper Car + Kids Scary,Galactic Bumper Car + Kids Scary
Airfighter (10D),Airfighter (10D)
Ride Show and Horror Show (7D),Ride Show and Horror Show (7D)
Ride Show and Adventure Show (7D),Ride Show and Adventure Show (7D)
Haunted House 7D,Haunted House 7D
Wild Roller Coaster- Combo (7D),Wild Roller Coaster- Combo (7D)
Deep Sea Hunt- Combo (10D),Deep Sea Hunt- Combo (10D)
Treasure Hunter- Combo (10D),Treasure Hunter- Combo (10D)
Curse of Egypt (10D),Curse of Egypt (10D)
Sons Of Sardaar,Sons Of Sardaar
Split,Split
Vismaya,Vismaya
Justice League,Justice League
Sheene,Sheene
Transformers: The Last Knight,Transformers: The Last Knight
Beiimaan Love,Beiimaan Love
Max Steel,Max Steel
Dunkirk,Dunkirk
Mudi Sooda Mannan,Mudi Sooda Mannan
Resident Evil: The Final Chapter,Resident Evil: The Final Chapter
Devi (L),Devi (L)
Thor: Ragnarok,Thor: Ragnarok
The Sea of Trees,The Sea of Trees
Shatamanam Bhavati,Shatamanam Bhavati
The Great Gilly Hopkins,The Great Gilly Hopkins
Veeram,Veeram
In The Shadows,In The Shadows
Byomkesh Pawrbo,Byomkesh Pawrbo
Crazy Boy,Crazy Boy
Student Of The Year 2,Student Of The Year 2
Dear Zindagi,Dear Zindagi
Crack,Crack
Hidden Figures,Hidden Figures
Kadavul Irukaan Kumaru,Kadavul Irukaan Kumaru
Thrissivaperoor Kliptham,Thrissivaperoor Kliptham
Ennodu Vilayadu,Ennodu Vilayadu
Kadugu,Kadugu
M.S. Dhoni The Untold Story (Telugu),M.S. Dhoni The Untold Story (Telugu)
Veeram,Veeram
Veeram,Veeram
Same Kind of Different as Me,Same Kind of Different as Me
The Love Witch,The Love Witch
Kaashmora,Kaashmora
Kaashmora,Kaashmora
Spider-Man: Homecoming,Spider-Man: Homecoming
The Great Father,The Great Father
Maanagaram,Maanagaram
The Ring,The Ring
Aankhen 2,Aankhen 2
Sarkar 3,Sarkar 3
Khaidi No 150,Khaidi No 150
Kidnap (English),Kidnap (English)
Imperium,Imperium
Bank Chor,Bank Chor
Stagecoach: The Texas Jack Story,Stagecoach: The Texas Jack Story
Lion,Lion
Captain Nawab,Captain Nawab
The Disappointments Room,The Disappointments Room
Doddmane Hudga,Doddmane Hudga
Commando 2,Commando 2
Incarnate,Incarnate
Dino Planet (7D),Dino Planet (7D)
On the Blue Planet (7D),On the Blue Planet (7D)
Flight of Fancy (7D),Flight of Fancy (7D)
Gopal,Gopal
Two Pieces Of Small Glass (7D),Two Pieces Of Small Glass (7D)
Cosmic Quiz Part 3-Phases of the Moon (7D),Cosmic Quiz Part 3-Phases of the Moon (7D)
Dark Matter (7D),Dark Matter (7D)
Simran,Simran
Motu Patlu - King of Kings,Motu Patlu - King of Kings
Terminator 2,Terminator 2
Aanandam,Aanandam
Oru Muthassi Gadha,Oru Muthassi Gadha
Manmarziyan,Manmarziyan
Shut In,Shut In
Kaththi Sandai,Kaththi Sandai
Okadochadu,Okadochadu
Dinosaur And Crazy Snowmobile,Dinosaur And Crazy Snowmobile
House of Dead And Wild coaster,House of Dead And Wild coaster
Exit Thread,Exit Thread
USS Indianapolis: Men of Courage,USS Indianapolis: Men of Courage
Katamarayudu,Katamarayudu
Hyper,Hyper
Kavalai Vendam,Kavalai Vendam
Majnu,Majnu
Mubarakan,Mubarakan
Ek Tera Saath,Ek Tera Saath
Disco 82,Disco 82
Bleed For This,Bleed For This
Baba Retired Zaale,Baba Retired Zaale
Brahm,Brahm
Bardo,Bardo
Bus Stop (Marathi),Bus Stop (Marathi)
Thugs of Hindostan,Thugs of Hindostan
Passengers,Passengers
Ribbon,Ribbon
Power Paandi,Power Paandi
Collateral Beauty,Collateral Beauty
Live By Night,Live By Night
Cosmic Quiz Part 1-Earth,Cosmic Quiz Part 1-Earth
Cosmic Quiz Part 2- The Solar System (7D),Cosmic Quiz Part 2- The Solar System (7D)
Free Fire,Free Fire
Nocturnal Animals,Nocturnal Animals
The Promise,The Promise
Chennai 600028 Second Innings,Chennai 600028 Second Innings
Naam Shabana,Naam Shabana
Paterson,Paterson
Tiger Zinda Hai,Tiger Zinda Hai
Uppu Huli Kara,Uppu Huli Kara
Saansein,Saansein
Miss Sloane,Miss Sloane
Dieyana House,Dieyana House
Padmavati,Padmavati
Annabelle 2,Annabelle 2
World War Z 2,World War Z 2
Smurfs: The Lost Village,Smurfs: The Lost Village
Blazing Samurai,Blazing Samurai
Black Panther,Black Panther
Toy Story 4,Toy Story 4
Tum Bin 2,Tum Bin 2
The Bye Bye Man,The Bye Bye Man
Shazam,Shazam
Patriots Day,Patriots Day
Sardar Saab,Sardar Saab
MSG-The Warrior Lion Heart,MSG-The Warrior Lion Heart
Lighthouse Keeper,Lighthouse Keeper
Guru (Telugu),Guru (Telugu)
Nagarahavu,Nagarahavu
Saithan,Saithan
Bethaladu,Bethaladu
Fist Fight,Fist Fight
Premam (Telugu),Premam (Telugu)
Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets
The Eyes of My Mother,The Eyes of My Mother
Trespass Against Us,Trespass Against Us
Naruda DONORuda,Naruda DONORuda
Krrish 4,Krrish 4
Takadum,Takadum
Adangathey,Adangathey
Sila Samayangalil,Sila Samayangalil
Byomkesh O Chiriakhana,Byomkesh O Chiriakhana
Hands Of Stone,Hands Of Stone
Crossbreed,Crossbreed
Fences,Fences
Alone In Berlin,Alone In Berlin
Rajahamsa,Rajahamsa
Jaguar (Telugu),Jaguar (Telugu)
Abhimaan,Abhimaan
Maze Runner: The Death Cure,Maze Runner: The Death Cure
Geostorm,Geostorm
Captain Underpants,Captain Underpants
How To Train Your Dragon 3,How To Train Your Dragon 3
Justice League 2,Justice League 2
Cars 3,Cars 3
Personal Shopper,Personal Shopper
The Boss Baby,The Boss Baby
Ishq Junoon,Ishq Junoon
Jaguar (Kannada) (U/A),Jaguar (Kannada) (U/A)
The Hollow Point,The Hollow Point
Prem Ki Bujhini,Prem Ki Bujhini
Brawl in Cell Block 99,Brawl in Cell Block 99
Solar Eclipse: Depth of Darkness,Solar Eclipse: Depth of Darkness
Kodi,Kodi
Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales
Vangaveeti,Vangaveeti
Love Pain Kuch Bhi Karega (U/A),Love Pain Kuch Bhi Karega (U/A)
Baby (Oriya),Baby (Oriya)
Wolverine 3: Logan,Wolverine 3: Logan
Kavi Udeshichathu? (U),Kavi Udeshichathu? (U)
Chhati Tale Ding Dong,Chhati Tale Ding Dong
John Wick 2,John Wick 2
Sleepless,Sleepless
Jackie,Jackie
Get Out,Get Out
Indragobai,Indragobai
Brahma.com,Brahma.com
Jathagaa,Jathagaa
Jomonte Suviseshangal,Jomonte Suviseshangal
The Flash,The Flash
Vazandar,Vazandar
Ballerina,Ballerina
War for the Planet of the Apes,War for the Planet of the Apes
Officer Downe,Officer Downe
Rama Rama Re,Rama Rama Re
Barsa,Barsa
Salt And Fire,Salt And Fire
Imaikkaa Nodigal,Imaikkaa Nodigal
Dhruva,Dhruva
Motu Patlu - King of Kings (U),Motu Patlu - King of Kings (U)
Zehan,Zehan
Ezra,Ezra
Wajah Tum Ho,Wajah Tum Ho
Death House,Death House
Moh Maya Money,Moh Maya Money
Kee,Kee
Thupparivaalan,Thupparivaalan
Magalir Mattum,Magalir Mattum
ISM (U/A),ISM (U/A)
Winner,Winner
Manyam puli,Manyam puli
Achcham Yenbadhu Madamaiyada,Achcham Yenbadhu Madamaiyada
Nandini Nursing Home,Nandini Nursing Home
Train To Busan (A),Train To Busan (A)
Fanney khan,Fanney khan
Mukunda Murari,Mukunda Murari
Crazy Snow Mobile (10D),Crazy Snow Mobile (10D)
Terrific Dinasaur (10D),Terrific Dinasaur (10D)
Adventures Of The Jet Cat (10D),Adventures Of The Jet Cat (10D)
Vedalam (U),Vedalam (U)
A Cure For Wellness,A Cure For Wellness
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2
Kabali (U),Kabali (U)
GOLD,GOLD
Waras,Waras
Santhu Straight Forward,Santhu Straight Forward
MSG - The Lionheart - Hind Ka NaPak Ko Jawab,MSG - The Lionheart - Hind Ka NaPak Ko Jawab
The Emoji Movie,The Emoji Movie
Life,Life
Rock That Body,Rock That Body
Dharmayogi,Dharmayogi
Silence,Silence
Gyarah,Gyarah
Swarna Kaduva,Swarna Kaduva
Rescue (Combo) (7D),Rescue (Combo) (7D)
MR.420 (Telugu),MR.420 (Telugu)
1971 : Beyond Borders,1971 : Beyond Borders
Duniyadari (Gujarati),Duniyadari (Gujarati)
