Haji Saheb,Haji Saheb,
QBA,QBA,
Rajbhog,Rajbhog,
Vapour Pub & Brewery,Vapour Pub & Brewery,
Evviva Sky Lounge - Courtyard By Marriott,Evviva Sky Lounge - Courtyard By Marriott,
Moets - Coco Palm,Moets - Coco Palm,
FoodInn Fine Dine,FoodInn Fine Dine,
TLR Cafe,TLR Cafe,
Pepe Nero,Pepe Nero,
Oriental Fusion - Ramee Grand Hotel,Oriental Fusion - Ramee Grand Hotel,
Susegaat,Susegaat,
Lock Stock & Barrel,Lock Stock & Barrel,
Cross Roads Cafe,Cross Roads Cafe,
Gloria Restaurant,Gloria Restaurant,
Tamarind Tree,Tamarind Tree,
In Wok,In Wok,
Cafe Treat - The Pride Hotel,Cafe Treat - The Pride Hotel,
Swami The Veg Heritage,Swami The Veg Heritage,
Hachi Ba ,Hachi Ba ,
Swadeshi Seafood Restaurant,Swadeshi Seafood Restaurant,
Le Fairway,Le Fairway,
Cafe VSB,Cafe VSB,
Atrium - VITS,Atrium - VITS,
Spinns Family Resto Bar,Spinns Family Resto Bar,
OXO,OXO,
AD's Dilli Kitchen,AD's Dilli Kitchen,
Golkonda Chimney,Golkonda Chimney,
Beer Republic,Beer Republic,
The Dark Horse,The Dark Horse,
SBar Club & Lounge,SBar Club & Lounge,
O Calcutta,O Calcutta,
Beach House,Beach House,
The Great Indian Thali,The Great Indian Thali,
Pavili-Oven,Pavili-Oven,
Dadu's Jharokha,Dadu's Jharokha,
Nalaas Aappakadai,Nalaas Aappakadai,
Taste Of India,Taste Of India,
Cafe Buzzinga,Cafe Buzzinga,
My Bar - Quarter Deck,My Bar - Quarter Deck,
Saptagiri Family Restaurant,Saptagiri Family Restaurant,
Carnival De Goa,Carnival De Goa,
Arbor Brewing Company,Arbor Brewing Company,
Studio Lounge - Hotel Studio Estique,Studio Lounge - Hotel Studio Estique,
56 Bhog,56 Bhog,
Nivisha  The Veg Heritage,Nivisha  The Veg Heritage,
Mainland China,Mainland China,
The Workshop,The Workshop,
The Innside Story,The Innside Story,
Hotel Fish Land,Hotel Fish Land,
4 in 1 Family Restaurant,4 in 1 Family Restaurant,
Red Bowl,Red Bowl,
On The Go,On The Go,
Tallee Junction,Tallee Junction,
The Big Chill,The Big Chill,
Equinox,Equinox,
Gramin,Gramin,
Lido - Hyatt Bangalore,Lido - Hyatt Bangalore,
Sam's Pub,Sam's Pub,
Cafe Out of the Box,Cafe Out of the Box,
Meghana Foods,Meghana Foods,
Damurs Bar & Restaurant,Damurs Bar & Restaurant,
Elation,Elation,
Eddie's Kitchen,Eddie's Kitchen,
Ji Hazoor,Ji Hazoor,
