value,variants
Sumerpur,Sumerpur |
Malavalli,Malavalli |
Rayadurg,Rayadurg |
Shiggaon,Shiggaon |
Kashipur,Kashipur |
Panvel,Panvel |
Rasra,Rasra |
Paradip,Paradip |
Upleta,Upleta |
Sholavandan,Sholavandan |
Periyakulam,Periyakulam |
Bhimavaram,Bhimavaram |
hyderabad,hyderabad
Asansol,Asansol |
Mahnar Bazar,Mahnar |Mahnar Bazar |
Gangarampur,Gangarampur |
Narsipatnam,Narsipatnam |
Mahemdabad,Mahemdabad |
Rajam,Rajam |
Tharamangalam,Tharamangalam |
Bhadrak,Bhadrak |
Khowai,Khowai |
Raigarh,Raigarh |
Rewa,Rewa |
Sangrur,Sangrur |
Bangalore,Bengaluru |Bangalore
Patna,Patna |
Rajgarh Churu,Rajgarh |Churu |
Puri,Puri |
Nabarangapur,Nabarangapur |
Nagercoil,Nagercoil |
Vandavasi,Vandavasi |
Sivakasi,Sivakasi |
Erode,Erode |
Nagda,Nagda |
Balurghat,Balurghat |
Thiruvalla,Thiruvalla |
Arsikere,Arsikere |
Rawatbhata,Rawatbhata |
Losal,Losal |
Tuni,Tuni |
Jagdalpur,Jagdalpur |
Safidon,Safidon |
Panamattom,Panamattom |
Sagar,Sagar |
Aurangabad,Aurangabad |
Katihar,Katihar |
Rosera,Rosera |
Tarbha,Tarbha |
Loha,Loha |
Solapur,Solapur |
Machilipatnam,Machilipatnam |
Tehri,Tehri |
Manavadar,Manavadar |
Sirsaganj,Sirsaganj |
Udhagamandalam,Udhagamandalam |
Amreli,Amreli |
Sunabeda,Sunabeda |
Mokameh,Mokameh |
Saundatti Yellamma,Saundatti |Yellamma |
Rania,Rania |
Pusad,Pusad |
Thangadh,Thangadh |
Madurai,Madurai |
Aruppukkottai,Aruppukkottai |
Manihari,Manihari |
Adityapur,Adityapur |
Lathi,Lathi |
Jalandhar Cantt,Jalandhar |Jalandhar Cantt |
Nawapur,Nawapur |
Jamalpur,Jamalpur |
Bhadrachalam,Bhadrachalam |
Vadipatti,Vadipatti |
Vizianagaram,Vizianagaram |
Srirampore,Srirampore |
Jamnagar,Jamnagar |
Nainital,Nainital |
Kishanganj,Kishanganj |
Hugli Chinsurah,Hugli |Chinsurah |
Guwahati,Guwahati |
Shahpur,Shahpur |
Sultanganj,Sultanganj |
Nainpur,Nainpur |
mangalore,mangalore |
Murshidabad,Murshidabad |
Tirukalukundram,Tirukalukundram |
Sahawar,Sahawar |
Vadodara,Vadodara |
Manuguru,Manuguru |
Jaipur,Jaipur |
Talcher,Talcher |
Madhugiri,Madhugiri |
Tarakeswar,Tarakeswar |
Punganur,Punganur |
Lonavala,Lonavala |
Pathri,Pathri |
Oddanchatram,Oddanchatram |
Murtijapur,Murtijapur |
Pauni,Pauni |
Nawanshahr,Nawanshahr |
Soyagaon,Soyagaon |
Ozar,Ozar |
Sagara,Sagara |
Phalodi,Phalodi |
Tuljapur,Tuljapur |
Rajgarh Alwar,Rajgarh |Alwar |
Sonamukhi,Sonamukhi |
Nabadwip,Nabadwip |
Surapura,Surapura |
Pipariya,Pipariya |
Lachhmangarh,Lachhmangarh |
Jatani,Jatani |
Rajampet,Rajampet |
Shendurjana,Shendurjana |
Talode,Talode |
Thana Bhawan,Thana Bhawan |
Porbandar,Porbandar |
Hardoi,Hardoi |
Pindwara,Pindwara |
Virudhachalam,Virudhachalam |
Sojat,Sojat |
Nanjangud,Nanjangud |
Sadalagi,Sadalagi |
Pathardi,Pathardi |
Sasvad,Sasvad |
Bhubaneswar,Bhubaneswar |
Karaikal,Karaikal |
Rabkavi Banhatti,Rabkavi |Banhatti |
Nandurbar,Nandurbar |
Chandausi,Chandausi |
Thirupuvanam,Thirupuvanam |
Azamgarh,Azamgarh |
Tanda,Tanda |
Narwana,Narwana |
Viluppuram,Viluppuram |
Kot Kapura,Kot |Kapura |
Sitamarhi,Sitamarhi |
Amroha,Amroha |
Moradabad,Moradabad |
Shrirampur,Shrirampur |
Malappuram,Malappuram |
Thuraiyur,Thuraiyur |
Santipur,Santipur |
Pandharkaoda,Pandharkaoda |
Nowrozabad Khodargama,Nowrozabad |Khodargama |
Shikaripur,Shikaripur |
Ramngarh,Ramngarh |
Palakkad,Palakkad |
Tamluk,Tamluk |
Balaghat,Balaghat |
Udaipurwati,Udaipurwati |
Rasipuram,Rasipuram |
Arrah,Arrah |
Mukerian,Mukerian |
Muvattupuzha,Muvattupuzha |
Bharatpur,Bharatpur |
Bhagalpur,Bhagalpur |
Sirkali,Sirkali |
Sivaganga,Sivaganga |
Patan,Patan |
Todaraisingh,Todaraisingh |
Cooch Behar,Cooch |Behar |
Viswanatham,Viswanatham |
Balangir,Balangir |
Panagar,Panagar |
Vapi,Vapi |
Hawa Jaipur,Hawa |Jaipur |
Salaya,Salaya |
Ranipet,Ranipet |
Kalyan Dombivali,Kalyan |Dombivali |
Nandivaram Guduvancheri,Nandivaram |Guduvancheri |
Nehtaur,Nehtaur |
Chatra,Chatra |
Pondicherry,Pondicherry |
Sheopur,Sheopur |
Kendujhar,Kendujhar |
Shahpura,Shahpura |
Mundargi,Mundargi |
Chilakaluripet,Chilakaluripet |
Raver,Raver |
Jalandhar,Jalandhar |
Taliparamba,Taliparamba |
Kadiri,Kadiri |
Rath,Rath |
Palacole,Palacole |
Bhopal,Bhopal |
Narnaul,Narnaul |
Rajgarh,Rajgarh |
Pandua,Pandua |
Lumding,Lumding |
mumbai,mumbai |bombay |
Sardhana,Sardhana |
Solan,Solan |
Deoghar,Deoghar |
Shivpuri,Shivpuri |
Brahmapur,Brahmapur |
Rajgir,Rajgir |
Adilabad,Adilabad |
Pilkhuwa,Pilkhuwa |
Hisar,Hisar |
Pappinisseri,Pappinisseri |
Obra,Obra |
Valsad,Valsad |
Srinagar,Srinagar |
Kamareddy,Kamareddy |
Ratnagiri,Ratnagiri |
Ajmer,Ajmer |
Kagaznagar,Kagaznagar |
Bhatapara,Bhatapara |
Pollachi,Pollachi |
Mhow Cantonment,Mhow |Cantonment |
Kharagpur,Kharagpur |
Gwalior,Gwalior |
Mulbagal,Mulbagal |
Puranpur,Puranpur |
Madhya Pradesh,MP |
Shajapur,Shajapur |
Sira,Sira |
kochi,kochi |
Bheemunipatnam,Bheemunipatnam |
Jammu,Jammu |
Puliyankudi,Puliyankudi |
Jehanabad,Jehanabad |
Uchgaon,Uchgaon |
Firozpur,Firozpur |
Kasaragod,Kasaragod |
Sedam,Sedam |
Shahganj,Shahganj |
Samdhan,Samdhan |
Goalpara,Goalpara |
Mundi,Mundi |
Pulgaon,Pulgaon |
Thiruvarur,Thiruvarur |
Uran,Uran |
Davanagere,Davanagere |
Pudukkottai,Pudukkottai |
Ramdurg,Ramdurg |
Taki,Taki |
Utraula,Utraula |
Adyar,Adyar |
Mancherial,Mancherial |
Shoranur,Shoranur |
